REB 	= "countries/rebels.txt"
QA5 = "countries/region_aegyptus Revolt.txt"
QAS = "countries/region_asia.txt"
QA6 = "countries/region_asia Revolt.txt"
QBI = "countries/region_bithynia_et_pontus.txt"
QB6 = "countries/region_bithynia_et_pontus Revolt.txt"
QCI = "countries/region_cilicia.txt"
QC3 = "countries/region_cilicia Revolt.txt"
QAR = "countries/region_armenia.txt"
QA7 = "countries/region_armenia Revolt.txt"
QSY = "countries/region_syria.txt"
QS5 = "countries/region_syria Revolt.txt"
QAB = "countries/region_arabia.txt"
QA8 = "countries/region_arabia Revolt.txt"
QMT = "countries/region_mesopotamia.txt"
QM7 = "countries/region_mesopotamia Revolt.txt"
QPT = "countries/region_parthia.txt"
QP3 = "countries/region_parthia Revolt.txt"

# Barbarians
B01	= "countries/B01.txt"
B02	= "countries/B02.txt"
B03	= "countries/B03.txt"
B04	= "countries/B04.txt"
B05	= "countries/B05.txt"
B06	= "countries/B06.txt"
B07	= "countries/B07.txt"
B08	= "countries/B08.txt"
B09	= "countries/B09.txt"
B10	= "countries/B10.txt"
B11	= "countries/B11.txt"
B12	= "countries/B12.txt"
B13	= "countries/B13.txt"
B14	= "countries/B14.txt"
B15	= "countries/B15.txt"
B16	= "countries/B16.txt"
B17	= "countries/B17.txt"
B18	= "countries/B18.txt"
B19	= "countries/B19.txt"
B20	= "countries/B20.txt"
B21	= "countries/B21.txt"
B22	= "countries/B22.txt"
B23	= "countries/B23.txt"
B24	= "countries/B24.txt"
B25	= "countries/B25.txt"
B26	= "countries/B26.txt"
B27	= "countries/B27.txt"
B28	= "countries/B28.txt"
B29	= "countries/B29.txt"
B30	= "countries/B30.txt"
B31	= "countries/B31.txt"
B32	= "countries/B32.txt"
B33	= "countries/B33.txt"
B34	= "countries/B34.txt"
B35	= "countries/B35.txt"
B36	= "countries/B36.txt"
B37	= "countries/B37.txt"
B38	= "countries/B38.txt"
B39	= "countries/B39.txt"
B40	= "countries/B40.txt"

C01	= "countries/B01 Revolt.txt"
C02	= "countries/B02 Revolt.txt"
C03	= "countries/B03 Revolt.txt"
C04	= "countries/B04 Revolt.txt"
C05	= "countries/B05 Revolt.txt"
C06	= "countries/B06 Revolt.txt"
C07	= "countries/B07 Revolt.txt"
C08	= "countries/B08 Revolt.txt"
C09	= "countries/B09 Revolt.txt"
C10	= "countries/B10 Revolt.txt"
C11	= "countries/B11 Revolt.txt"
C12	= "countries/B12 Revolt.txt"
C13	= "countries/B13 Revolt.txt"
C14	= "countries/B14 Revolt.txt"
C15	= "countries/B15 Revolt.txt"
C16	= "countries/B16 Revolt.txt"
C17	= "countries/B17 Revolt.txt"
C18	= "countries/B18 Revolt.txt"
C19	= "countries/B19 Revolt.txt"
C20	= "countries/B20 Revolt.txt"
C21	= "countries/B21 Revolt.txt"
C22	= "countries/B22 Revolt.txt"
C23	= "countries/B23 Revolt.txt"
C24	= "countries/B24 Revolt.txt"
C25	= "countries/B25 Revolt.txt"
C26	= "countries/B26 Revolt.txt"
C27	= "countries/B27 Revolt.txt"
C28	= "countries/B28 Revolt.txt"
C29	= "countries/B29 Revolt.txt"
C30	= "countries/B30 Revolt.txt"
C31	= "countries/B31 Revolt.txt"
C32	= "countries/B32 Revolt.txt"
C33	= "countries/B33 Revolt.txt"
C34	= "countries/B34 Revolt.txt"
C35	= "countries/B35 Revolt.txt"
C36	= "countries/B36 Revolt.txt"
C37	= "countries/B37 Revolt.txt"
C38	= "countries/B38 Revolt.txt"
C39	= "countries/B39 Revolt.txt"
C40	= "countries/B40 Revolt.txt"
